Run         Unconstr.      Heuristic       Formal                      
0            163.9          152.2          --
1            187.5          156.6          158.2    
2            189.1          162.0          146.2    
3            177.3          149.0          149.2    
4            183.4          150.2          160.6
5            186.1          152.2          152.9    
6            185.0          158.9          160.2    
7            190.2          162.3          142.5    
8            190.1          163.5          158.5       
9            190.1          162.0          158.0
